Date,Data Source name,Campaign,Campaign Status,Cost (INR),Clicks,Impressions,CPC (INR),CTR,CPM (INR),Conversions,Conv. Value (INR),Geo Location Segment,Country Funnel,Country,CPC_Calculated,CTR_Calculated,CPM_Calculated
2026-03-15,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,5055.800891,1545,28984,3.272363,0.053305,174.434201,0.0,0.0,India,India,India,3.2723630362459546,0.05330527187413746,174.43420131796853
2026-03-15,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,669.027268,32,41,20.907102,0.780488,16317.73824,0.0,0.0,India,India,India,20.907102125,0.7804878048780488,16317.73824390244
2026-03-16,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,310.104035,4,65,77.526009,0.061538,4770.831308,0.0,0.0,Rest of the World,Canada,Canada,77.52600875,0.06153846153846154,4770.831307692308
2026-03-16,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,1426.249405,10,188,142.624941,0.053191,7586.433005,0.0,0.0,USA,United States,United States,142.6249405,0.05319148936170213,7586.433005319149
2026-03-16,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,1245.024945,120,3043,10.375208,0.039435,409.143919,0.0,0.0,India,India,India,10.375207875,0.03943476832073611,409.1439188301018
2026-03-16,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,340.52,40,70,8.513,0.571429,4864.571429,0.0,0.0,India,India,India,8.513,0.5714285714285714,4864.5714285714275
2026-03-17,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,47.66,2,283,23.83,0.007067,168.409894,0.0,0.0,Rest of the World,Canada,Canada,23.83,0.007067137809187279,168.40989399293287
2026-03-17,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,334.97,8,594,41.87125,0.013468,563.922559,0.0,0.0,USA,United States,United States,41.87125,0.013468013468013467,563.9225589225589
2026-03-17,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,2726.039018,165,6266,16.521449,0.026333,435.052508,0.0,0.0,India,India,India,16.521448593939393,0.026332588573252474,435.05250845834667
2026-03-17,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,74.964783,27,61,2.776473,0.442623,1228.930869,0.0,0.0,India,India,India,2.7764734444444445,0.4426229508196721,1228.9308688524588
2026-03-18,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,315.51,7,553,45.072857,0.012658,570.542495,0.0,0.0,Rest of the World,Canada,Canada,45.07285714285714,0.012658227848101266,570.5424954792044
2026-03-18,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,1360.93,15,1066,90.728667,0.014071,1276.669794,0.0,0.0,USA,United States,United States,90.72866666666667,0.014071294559099437,1276.6697936210132
2026-03-18,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,1989.066886,69,2072,28.827056,0.033301,959.974366,0.0,9.7966,India,India,India,28.82705631884058,0.033301158301158304,959.9743658301159
2026-03-18,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,0.34,1,4,0.34,0.25,85.0,0.0,0.0,India,India,India,0.34,0.25,85.0
2026-03-19,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,0.0,0,2,,0.0,0.0,0.0,0.0,USA,United States,United States,,0.0,0.0
2026-03-19,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,9.375836,0,52,,0.0,180.304538,0.0,0.0,India,India,India,,0.0,180.30453846153847
2026-03-21,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,131.59,2,767,65.795,0.002608,171.564537,0.0,0.0,Rest of the World,Canada,Canada,65.795,0.002607561929595828,171.56453715775748
2026-03-21,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,3867.91,42,3644,92.093095,0.011526,1061.446213,0.0,0.0,USA,United States,United States,92.09309523809523,0.011525795828759604,1061.446212952799
2026-03-21,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,4947.166545,500,26617,9.894333,0.018785,185.864919,0.0,0.0,India,India,India,9.89433309,0.018784987038358944,185.864918848856
2026-03-21,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,44.345773,25,35,1.773831,0.714286,1267.022086,0.0,0.0,India,India,India,1.77383092,0.7142857142857143,1267.0220857142858
