Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases
2026-03-05,Facebook,Growify | TOF | Sale | US,1365.17,0.0,136,1637,0.0
2026-03-05,Facebook,Growify | TOF | Sale | US,71.48,0.0,0,57,0.0
2026-03-05,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Growify | TOF | Sales | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1229.77,0.0,405,7597,0.0
2026-03-06,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,66.959999,0.0,2,107,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,836.63,0.0,63,1297,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,132.52,0.0,17,166,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,39.08,0.0,0,8,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,179.51,0.0,11,100,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,1075.39,0.0,68,559,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,65.45,0.0,5,48,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,48.95,0.0,4,45,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,92.06,0.0,4,101,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,191.72,0.0,3,103,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,406.66,0.0,43,424,0.0
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,431.64,0.0,26,367,0.0
2026-03-06,Facebook,Growfiy | Tof | Traffic | Canada + US,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | 3rd Feb | Sale | ABO | Targeting,180.54,33586.2,25,1632,1.0
2026-03-06,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | MOF & BOF | Sale | India +intl,1682.31,0.0,3730,86054,0.0
2026-03-06,Facebook,Growify | MOF & BOF | Sale | India +intl,1157.74,0.0,3351,40102,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,116.66,0.0,82,6689,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,198.83,0.0,371,15646,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,545.38,0.0,1050,36294,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,56.49,0.0,0,25,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,0.16,0.0,0,16,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,280.58,0.0,147,14228,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,501.76,0.0,267,22012,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,113.15,0.0,34,4352,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,599.43,0.0,818,30661,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,175.05,0.0,257,10880,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,0.64,0.0,0,9,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,6.53,0.0,8,312,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,31.91,0.0,7,962,0.0
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,1120.18,0.0,417,30419,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,1482.03,0.0,3171,31697,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,1.47,0.0,0,71,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,1956.51,0.0,1231,39538,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,1053.569999,0.0,10987,53965,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.53,0.0,0,15,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,951.1,0.0,287,8219,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,1716.71,0.0,1825,24430,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,2614.2,0.0,2655,38531,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,5.91,0.0,7,112,0.0
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0
